design,runtime,cells,public_wire_bits,public_wires,wire_bits,wires,cpu_num
simple_gpio,14.21753335,150,55,34,164,143,8
nec,14.5900619,444,135,128,447,440,8
ca_prng,14.25556564,845,85,16,890,821,8
freq_div,14.0360992,77,16,16,79,79,8
sasc,14.13663483,675,204,162,737,695,8
counter,13.18672132,46,10,3,48,41,8
calendar,14.01532292,116,20,5,118,103,8
gcd,14.1471324,639,498,147,1044,693,8
accu,14.23899579,121,25,9,132,116,8
simple_spi_top,14.35285258,897,221,178,959,916,8
nescontroller,14.48131895,149,36,22,154,140,8
uart,14.48003244,887,185,112,978,905,8
sha256,17.6597712,6039,529,506,6055,6032,8
sha1,18.87152934,8835,948,881,8873,8806,8
cavlc,17.43176293,5368,1103,407,6045,5349,8
cf_fp_mul_p_5_10,18.00974679,4500,2546,1255,6225,4934,8
tv80s_top,17.36788177,5977,828,602,6286,6060,8
adder_64bit,15.37650299,1081,492,302,1212,1022,8
i2c_master,15.73586082,1117,277,214,1227,1164,8
minimac,39.09454823,16983,3386,2780,17583,16977,8
cf_cordic_v_32_32_32,72.7499361,52334,20388,9263,64029,52904,8
aes_cipher_top,39.64654613,18664,1713,770,19535,18592,8
picorv32a,42.68100286,20005,2077,1571,20241,19735,8
tinyriscv,47.78918409,29702,7668,3220,34312,29864,8
fpu,67.32242966,58172,6701,5333,59543,58175,8
minimac,62.92069483,16983,3386,2780,17583,16977,4
cf_cordic_v_32_32_32,102.4958961,52334,20388,9263,64029,52904,4
aes_cipher_top,63.08078742,18664,1713,770,19535,18592,4
picorv32a,67.01608562,20005,2077,1571,20241,19735,4
tinyriscv,73.54892492,29702,7668,3220,34312,29864,4
fpu,96.32499886,58172,6701,5333,59543,58175,4
sha256,22.72698689,6039,529,506,6055,6032,4
sha1,24.25870585,8835,948,881,8873,8806,4
cavlc,21.91669416,5368,1103,407,6045,5349,4
cf_fp_mul_p_5_10,22.79133916,4500,2546,1255,6225,4934,4
tv80s_top,23.03704619,5977,828,602,6286,6060,4
adder_64bit,17.61316752,1081,492,302,1212,1022,4
i2c_master,19.67285728,1117,277,214,1227,1164,4
simple_gpio,15.26807117,150,55,34,164,143,4
nec,15.97950053,444,135,128,447,440,4
ca_prng,16.18145919,845,85,16,890,821,4
freq_div,15.68471813,77,16,16,79,79,4
sasc,15.75206828,675,204,162,737,695,4
counter,13.15267658,46,10,3,48,41,4
calendar,15.1741147,116,20,5,118,103,4
gcd,15.65637898,639,498,147,1044,693,4
accu,15.21653152,121,25,9,132,116,4
simple_spi_top,15.66174626,897,221,178,959,916,4
nescontroller,15.99272323,149,36,22,154,140,4
uart,15.86818266,887,185,112,978,905,4
simple_gpio,23.49225664,150,55,34,164,143,2
nec,24.49849868,444,135,128,447,440,2
ca_prng,24.3971622,845,85,16,890,821,2
freq_div,22.58795738,77,16,16,79,79,2
sasc,24.59048724,675,204,162,737,695,2
counter,13.41127515,46,10,3,48,41,2
calendar,22.25906491,116,20,5,118,103,2
gcd,25.69420719,639,498,147,1044,693,2
accu,23.37557745,121,25,9,132,116,2
simple_spi_top,25.20587587,897,221,178,959,916,2
nescontroller,25.67346001,149,36,22,154,140,2
uart,22.98427033,887,185,112,978,905,2
sha256,49.29045296,6039,529,506,6055,6032,2
sha1,48.42385674,8835,948,881,8873,8806,2
cavlc,43.60930538,5368,1103,407,6045,5349,2
cf_fp_mul_p_5_10,48.04378152,4500,2546,1255,6225,4934,2
tv80s_top,46.65800357,5977,828,602,6286,6060,2
adder_64bit,32.40041733,1081,492,302,1212,1022,2
i2c_master,36.87935543,1117,277,214,1227,1164,2
minimac,160.6722956,16983,3386,2780,17583,16977,2
cf_cordic_v_32_32_32,260.055171,52334,20388,9263,64029,52904,2
aes_cipher_top,157.8187139,18664,1713,770,19535,18592,2
picorv32a,170.2412307,20005,2077,1571,20241,19735,2
tinyriscv,186.4940782,29702,7668,3220,34312,29864,2
fpu,226.9750636,58172,6701,5333,59543,58175,1
minimac,341.6154943,16983,3386,2780,17583,16977,1
cf_cordic_v_32_32_32,553.0516288,52334,20388,9263,64029,52904,1
aes_cipher_top,357.0144908,18664,1713,770,19535,18592,1
picorv32a,365.1306713,20005,2077,1571,20241,19735,1
tinyriscv,399.1722331,29702,7668,3220,34312,29864,1
fpu,468.0586925,58172,6701,5333,59543,58175,1
sha256,80.7456708,6039,529,506,6055,6032,1
sha1,92.24770427,8835,948,881,8873,8806,1
cavlc,84.46320319,5368,1103,407,6045,5349,1
cf_fp_mul_p_5_10,89.40186214,4500,2546,1255,6225,4934,1
tv80s_top,87.14560175,5977,828,602,6286,6060,1
adder_64bit,48.87057638,1081,492,302,1212,1022,1
i2c_master,58.87248349,1117,277,214,1227,1164,1
simple_gpio,34.90039277,150,55,34,164,143,1
nec,34.94396853,444,135,128,447,440,1
ca_prng,37.26749587,845,85,16,890,821,1
freq_div,33.99530482,77,16,16,79,79,1
sasc,37.08875132,675,204,162,737,695,1
counter,13.90180182,46,10,3,48,41,1
calendar,32.94160414,116,20,5,118,103,1
gcd,39.1396296,639,498,147,1044,693,1
accu,34.43639731,121,25,9,132,116,1
simple_spi_top,36.36521411,897,221,178,959,916,1
nescontroller,36.81138372,149,36,22,154,140,1
uart,36.59845209,887,185,112,978,905,1
